File created automatically by script ./spectrum_reduce.py on 2020-21-28T09:01:39Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.4272e+00 3.6931e-04 1.9043e-04
2.4294e+00 3.5913e-04 1.9200e-04
2.4316e+00 4.1920e-04 2.0248e-04
2.4338e+00 4.0589e-04 2.2845e-04
2.4360e+00 2.8407e-04 2.4024e-04
2.4382e+00 3.0276e-04 2.1693e-04
2.4404e+00 4.3094e-04 2.1428e-04
2.4426e+00 3.9033e-04 2.2249e-04
2.4448e+00 4.0762e-04 2.3616e-04
2.4470e+00 4.0957e-04 2.5426e-04
2.4492e+00 3.9821e-04 2.6939e-04
2.4514e+00 2.9400e-04 2.7569e-04
2.4536e+00 3.3071e-04 2.5712e-04
2.4558e+00 3.6607e-04 2.6311e-04
2.4580e+00 3.3064e-04 2.5715e-04
2.4602e+00 3.3923e-04 2.5302e-04
2.4624e+00 2.7845e-04 2.7936e-04
2.4646e+00 3.6827e-04 2.6044e-04
2.4668e+00 3.3769e-04 2.6023e-04
2.4690e+00 3.0733e-04 2.7462e-04
2.4712e+00 2.3518e-04 3.0801e-04
2.4734e+00 3.1591e-04 3.2533e-04
2.4756e+00 2.2736e-04 2.8025e-04
2.4778e+00 1.1518e-04 2.9823e-04
2.4800e+00 1.1587e-04 3.3340e-04
