File created automatically by script spectrum_reduce.py on 2020-21-18T20:01:58Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.2731e+00 3.5414e-04 2.6509e-04
2.2734e+00 4.3557e-04 2.7827e-04
2.2737e+00 3.4340e-04 2.6445e-04
2.2739e+00 3.1889e-04 2.7016e-04
2.2742e+00 3.0749e-04 2.6798e-04
2.2745e+00 3.4461e-04 2.8555e-04
2.2747e+00 2.9793e-04 2.8748e-04
2.2750e+00 4.1790e-04 2.9046e-04
2.2753e+00 3.4903e-04 3.0235e-04
2.2755e+00 4.3022e-04 3.9448e-04
2.2758e+00 4.2434e-04 3.3348e-04
2.2760e+00 2.8922e-04 2.8768e-04
2.2763e+00 3.0731e-04 4.1217e-04
2.2766e+00 3.9197e-04 3.0372e-04
2.2768e+00 3.6544e-04 3.0530e-04
2.2771e+00 4.1633e-04 4.3537e-04
2.2774e+00 -1.5072e-05 2.9251e-04
2.2776e+00 3.5541e-04 2.7620e-04
2.2779e+00 3.0644e-04 2.6103e-04
2.2782e+00 3.3421e-04 2.6714e-04
2.2784e+00 3.4116e-04 2.8011e-04
2.2787e+00 3.2563e-04 2.6671e-04
2.2790e+00 3.4248e-04 2.6517e-04
2.2792e+00 3.6626e-04 2.8345e-04
2.2795e+00 4.0874e-04 2.8510e-04
2.2797e+00 3.0675e-04 2.6077e-04
2.2800e+00 3.0820e-04 2.6655e-04
2.2803e+00 3.6847e-04 2.7830e-04
2.2805e+00 3.9668e-04 4.2440e-04
2.2808e+00 4.0434e-04 3.1518e-04
2.2811e+00 3.2150e-04 2.8071e-04
2.2813e+00 4.1868e-04 2.7091e-04
2.2816e+00 4.1630e-04 2.8710e-04
2.2819e+00 3.6255e-04 4.6286e-04
2.2821e+00 3.7555e-04 2.7736e-04
2.2824e+00 3.6911e-04 2.9368e-04
2.2827e+00 3.8153e-04 3.2937e-04
2.2829e+00 4.0077e-04 3.4034e-04
2.2832e+00 3.3512e-04 3.0743e-04
2.2834e+00 3.8344e-04 2.6297e-04
2.2837e+00 3.0204e-04 2.7666e-04
2.2840e+00 3.5336e-04 3.1567e-04
2.2842e+00 3.3231e-04 2.6286e-04
2.2845e+00 3.1992e-04 2.7115e-04
2.2848e+00 3.4356e-04 2.8353e-04
2.2850e+00 3.5950e-04 2.7011e-04
2.2853e+00 4.3653e-04 3.0258e-04
2.2856e+00 3.5337e-04 3.8490e-04
2.2858e+00 3.1834e-04 2.7186e-04
2.2861e+00 3.7746e-04 2.5695e-04
2.2864e+00 3.6709e-04 3.5358e-04
2.2866e+00 3.3991e-04 3.3784e-04
2.2869e+00 3.2544e-04 2.7337e-04
2.2871e+00 3.6016e-04 2.6045e-04
2.2874e+00 3.9561e-04 2.5343e-04
2.2877e+00 3.0906e-04 3.3749e-04
2.2879e+00 3.7060e-04 2.6664e-04
2.2882e+00 4.2825e-04 2.8352e-04
2.2885e+00 3.5264e-04 2.6059e-04
2.2887e+00 4.1716e-04 2.8496e-04
2.2890e+00 3.7971e-04 2.6085e-04
2.2893e+00 3.7288e-04 2.7185e-04
2.2895e+00 4.3955e-04 2.9789e-04
2.2898e+00 4.1785e-04 3.1652e-04
2.2901e+00 4.2266e-04 3.1268e-04
2.2903e+00 3.9612e-04 3.1579e-04
2.2906e+00 3.5517e-04 3.2685e-04
2.2908e+00 3.6102e-04 2.6111e-04
2.2911e+00 3.2120e-04 3.0634e-04
2.2914e+00 3.3932e-04 2.8051e-04
2.2916e+00 3.2266e-04 3.0959e-04
2.2919e+00 4.7157e-04 2.7284e-04
2.2922e+00 3.7720e-04 3.1451e-04
2.2924e+00 3.8231e-04 3.2457e-04
2.2927e+00 3.6197e-04 2.7381e-04
2.2930e+00 4.4599e-04 2.8253e-04
2.2932e+00 3.3704e-04 2.5070e-04
2.2935e+00 2.8054e-04 2.6999e-04
2.2938e+00 2.7495e-04 3.0883e-04
2.2940e+00 3.0759e-04 2.8614e-04
2.2943e+00 3.7266e-04 3.0539e-04
2.2945e+00 3.8522e-04 3.1058e-04
2.2948e+00 2.4462e-04 2.9137e-04
2.2951e+00 2.6954e-04 2.6322e-04
2.2953e+00 2.8502e-04 2.8403e-04
2.2956e+00 3.2807e-04 2.9103e-04
2.2959e+00 3.4375e-04 2.9264e-04
2.2961e+00 4.0134e-04 2.9185e-04
2.2964e+00 3.5160e-04 3.0210e-04
2.2967e+00 3.4090e-04 2.6089e-04
2.2969e+00 3.5353e-04 2.8350e-04
2.2972e+00 3.3592e-04 2.4570e-04
2.2975e+00 3.1297e-04 2.8553e-04
2.2977e+00 4.4585e-04 2.4561e-04
2.2980e+00 3.4871e-04 2.8302e-04
2.2982e+00 3.0814e-04 2.7583e-04
2.2985e+00 2.7155e-04 2.9621e-04
2.2988e+00 3.0321e-04 2.7221e-04
2.2990e+00 2.8453e-04 2.7063e-04
2.2993e+00 3.3845e-04 2.7569e-04
2.2996e+00 3.7122e-04 2.6005e-04
2.2998e+00 3.7781e-04 3.0632e-04
2.3001e+00 3.6792e-04 5.9249e-04
2.3004e+00 3.5689e-04 3.0151e-04
2.3006e+00 3.3023e-04 2.7061e-04
2.3009e+00 3.8833e-04 3.0159e-04
2.3012e+00 3.1788e-04 3.1487e-04
2.3014e+00 3.3069e-04 2.6456e-04
2.3017e+00 2.9769e-04 2.8281e-04
2.3019e+00 3.5842e-04 2.5829e-04
2.3022e+00 3.3755e-04 2.4713e-04
2.3025e+00 3.8079e-04 2.4978e-04
2.3027e+00 3.6721e-04 2.7380e-04
2.3030e+00 3.0738e-04 3.4192e-04
2.3033e+00 2.7251e-04 3.1912e-04
2.3035e+00 3.2401e-04 2.7537e-04
2.3038e+00 3.5475e-04 3.5371e-04
2.3041e+00 3.7344e-04 2.5840e-04
2.3043e+00 3.7811e-04 2.7304e-04
2.3046e+00 3.7987e-04 2.6375e-04
2.3049e+00 3.2589e-04 2.9477e-04
2.3051e+00 3.0231e-04 2.8875e-04
2.3054e+00 3.7314e-04 2.6904e-04
2.3056e+00 3.2079e-04 2.5254e-04
2.3059e+00 3.0894e-04 3.1281e-04
2.3062e+00 3.4632e-04 2.6429e-04
2.3064e+00 3.7464e-04 2.5439e-04
2.3067e+00 3.0441e-04 2.4985e-04
2.3070e+00 2.5085e-04 3.8097e-04
2.3072e+00 3.4389e-04 2.5595e-04
2.3075e+00 3.9887e-04 4.3570e-04
2.3078e+00 3.3161e-04 2.6085e-04
2.3080e+00 3.5172e-04 2.4944e-04
2.3083e+00 3.7862e-04 2.4571e-04
2.3086e+00 3.9432e-04 2.2429e-04
2.3088e+00 3.3397e-04 2.7292e-04
2.3091e+00 2.9287e-04 2.4128e-04
2.3093e+00 2.4297e-04 2.5205e-04
2.3096e+00 3.0009e-04 2.3886e-04
2.3099e+00 2.8091e-04 2.3569e-04
2.3101e+00 3.0153e-04 2.4690e-04
2.3104e+00 3.1364e-04 2.2625e-04
2.3107e+00 4.1241e-04 5.0191e-04
2.3109e+00 3.6394e-04 2.3847e-04
2.3112e+00 2.6710e-04 2.3786e-04
2.3115e+00 2.6982e-04 2.3596e-04
2.3117e+00 3.2736e-04 2.2796e-04
2.3120e+00 3.4828e-04 3.1674e-04
2.3123e+00 3.7279e-04 2.5226e-04
2.3125e+00 3.8499e-04 2.2592e-04
2.3128e+00 3.7742e-04 3.1192e-04
2.3130e+00 3.8435e-04 2.4370e-04
2.3133e+00 2.8980e-04 2.1683e-04
2.3136e+00 3.2360e-04 2.8694e-04
2.3138e+00 3.1482e-04 2.7134e-04
2.3141e+00 3.2249e-04 2.8005e-04
2.3144e+00 3.3369e-04 2.5022e-04
2.3146e+00 3.5676e-04 2.5966e-04
2.3149e+00 3.5186e-04 2.3215e-04
2.3152e+00 3.6166e-04 2.2898e-04
2.3154e+00 3.2238e-04 2.6451e-04
2.3157e+00 3.6513e-04 3.0317e-04
2.3160e+00 2.9770e-04 2.5885e-04
2.3162e+00 3.3730e-04 2.9749e-04
2.3165e+00 3.1135e-04 3.5130e-04
2.3167e+00 3.0843e-04 4.3856e-04
2.3170e+00 2.9865e-04 3.8159e-04
2.3173e+00 3.5758e-04 3.3851e-04
2.3175e+00 3.9306e-04 3.7417e-04
2.3178e+00 3.4600e-04 2.9451e-04
2.3181e+00 3.6199e-04 3.4889e-04
2.3183e+00 3.6551e-04 2.9311e-04
2.3186e+00 3.6148e-04 4.4516e-04
2.3189e+00 3.6698e-04 2.6696e-04
2.3191e+00 5.2569e-04 2.5939e-04
2.3194e+00 3.5943e-04 2.9981e-04
2.3197e+00 3.7585e-04 2.6281e-04
2.3199e+00 3.5144e-04 2.4538e-04
2.3202e+00 3.6093e-04 3.3622e-04
2.3204e+00 3.5643e-04 2.5256e-04
2.3207e+00 3.3157e-04 2.5489e-04
2.3210e+00 2.8976e-04 2.4116e-04
2.3212e+00 3.2557e-04 2.5228e-04
2.3215e+00 3.0064e-04 2.8038e-04
2.3218e+00 3.3299e-04 2.8340e-04
2.3220e+00 2.9511e-04 2.5718e-04
2.3223e+00 2.9380e-04 2.4134e-04
2.3226e+00 3.0454e-04 3.1942e-04
2.3228e+00 2.4615e-04 2.8808e-04
2.3231e+00 2.0006e-04 3.3240e-04
2.3234e+00 2.4966e-04 3.0084e-04
2.3236e+00 2.3932e-04 2.5216e-04
2.3239e+00 3.0341e-04 3.9343e-04
2.3241e+00 3.0447e-04 2.4913e-04
2.3244e+00 2.8887e-04 2.8730e-04
2.3247e+00 2.5315e-04 2.4869e-04
2.3249e+00 3.1283e-04 2.4071e-04
2.3252e+00 2.8866e-04 2.6033e-04
2.3255e+00 3.5941e-04 2.8381e-04
2.3257e+00 3.5902e-04 2.5291e-04
2.3260e+00 2.8098e-04 2.3538e-04
2.3263e+00 3.3609e-04 2.4837e-04
2.3265e+00 3.1297e-04 2.5357e-04
2.3268e+00 2.5884e-04 2.6160e-04
2.3271e+00 2.8701e-04 2.9583e-04
2.3273e+00 2.8127e-04 2.6099e-04
2.3276e+00 3.6821e-04 2.5131e-04
2.3278e+00 4.1581e-04 2.4175e-04
2.3281e+00 3.1689e-04 2.4720e-04
2.3284e+00 3.5264e-04 2.8054e-04
2.3286e+00 3.1674e-04 4.2820e-04
2.3289e+00 2.7593e-04 2.6146e-04
2.3292e+00 2.6387e-04 2.7547e-04
2.3294e+00 3.1071e-04 2.5395e-04
2.3297e+00 3.3901e-04 2.3293e-04
2.3300e+00 4.5402e-04 2.3351e-04
2.3302e+00 3.7015e-04 2.5103e-04
2.3305e+00 2.1357e-04 2.4364e-04
2.3308e+00 -1.3847e-04 2.5719e-04
2.3310e+00 2.8278e-04 2.5465e-04
2.3313e+00 2.7797e-04 2.8328e-04
2.3315e+00 3.4739e-04 2.8512e-04
2.3318e+00 4.3488e-04 2.7271e-04
2.3321e+00 3.8371e-04 2.5883e-04
2.3323e+00 3.1494e-04 2.9495e-04
2.3326e+00 3.5358e-04 2.3893e-04
2.3329e+00 4.5691e-04 2.4931e-04
2.3331e+00 3.4895e-04 2.4139e-04
2.3334e+00 3.3520e-04 2.3669e-04
2.3337e+00 3.2977e-04 2.4751e-04
2.3339e+00 3.1928e-04 2.7092e-04
2.3342e+00 3.7906e-04 2.5067e-04
2.3345e+00 3.6775e-04 2.7489e-04
2.3347e+00 3.1486e-04 2.4972e-04
2.3350e+00 3.6738e-04 2.8635e-04
2.3352e+00 3.5666e-04 2.7587e-04
2.3355e+00 2.2088e-04 2.4760e-04
2.3358e+00 2.6995e-04 2.8270e-04
2.3360e+00 3.0580e-04 2.7302e-04
2.3363e+00 3.7842e-04 2.7282e-04
2.3366e+00 3.9902e-04 3.6974e-04
2.3368e+00 3.7648e-04 2.7697e-04
2.3371e+00 3.6817e-04 2.6228e-04
2.3374e+00 3.3751e-04 2.4898e-04
2.3376e+00 3.7536e-04 2.4875e-04
2.3379e+00 3.6575e-04 3.2400e-04
2.3382e+00 3.2442e-04 2.7255e-04
2.3384e+00 3.4865e-04 3.3231e-04
2.3387e+00 2.9381e-04 3.1879e-04
2.3389e+00 3.3148e-04 2.7305e-04
2.3392e+00 3.2232e-04 2.5311e-04
2.3395e+00 3.4045e-04 2.6863e-04
2.3397e+00 4.1712e-04 3.2559e-04
2.3400e+00 4.4703e-04 3.3235e-04
2.3403e+00 3.9022e-04 3.1659e-04
2.3405e+00 3.5877e-04 3.0914e-04
2.3408e+00 3.8334e-04 2.6325e-04
2.3411e+00 3.5123e-04 3.0122e-04
2.3413e+00 3.5909e-04 6.0096e-04
2.3416e+00 3.9693e-04 3.1413e-04
2.3419e+00 2.2389e-04 2.7643e-04
2.3421e+00 2.0310e-04 3.2524e-04
2.3424e+00 4.1290e-04 2.5935e-04
2.3426e+00 3.6303e-04 2.5373e-04
2.3429e+00 2.1236e-04 2.5048e-04
2.3432e+00 1.4464e-04 2.6427e-04
2.3434e+00 2.3437e-04 2.8775e-04
2.3437e+00 3.2122e-04 2.8056e-04
2.3440e+00 3.1311e-04 2.6844e-04
2.3442e+00 3.2169e-04 2.9530e-04
2.3445e+00 2.6156e-04 2.8455e-04
2.3448e+00 1.9637e-04 2.9210e-04
2.3450e+00 2.3475e-04 2.9406e-04
2.3453e+00 2.7500e-04 3.6362e-04
2.3456e+00 3.1863e-04 2.9841e-04
2.3458e+00 3.7727e-04 2.8253e-04
2.3461e+00 4.2532e-04 3.3717e-04
2.3463e+00 5.9651e-04 2.7010e-04
2.3466e+00 5.5137e-04 9.7412e-04
2.3469e+00 3.0917e-04 3.2673e-04
2.3471e+00 2.9996e-04 2.7516e-04
2.3474e+00 3.6449e-04 3.0922e-04
2.3477e+00 4.3177e-04 2.9196e-04
2.3479e+00 2.5405e-04 3.2619e-04
2.3482e+00 9.8122e-05 3.4296e-04
2.3485e+00 2.1111e-04 3.5955e-04
2.3487e+00 4.3114e-04 2.9565e-04
2.3490e+00 4.2800e-04 7.0875e-04
2.3493e+00 4.1702e-04 3.1472e-04
2.3495e+00 3.0540e-04 2.9047e-04
2.3498e+00 2.8708e-04 3.3145e-04
2.3500e+00 6.3776e-04 3.2810e-04
2.3503e+00 9.0600e-04 3.5865e-04
2.3506e+00 3.8466e-04 3.6904e-04
2.3508e+00 3.5294e-04 3.6403e-04
2.3511e+00 4.0380e-04 3.1612e-04
2.3514e+00 4.5129e-04 3.1346e-04
2.3516e+00 4.0357e-04 3.6471e-04
2.3519e+00 3.7743e-04 3.8032e-04
2.3522e+00 2.0048e-04 3.2339e-04
2.3524e+00 3.3800e-04 5.1734e-04
2.3527e+00 3.0064e-04 3.4088e-04
2.3530e+00 2.5624e-04 2.8861e-04
2.3532e+00 3.4440e-04 3.1812e-04
2.3535e+00 2.4167e-04 3.5348e-04
2.3537e+00 2.1551e-04 3.0964e-04
2.3540e+00 2.7142e-04 3.5459e-04
2.3543e+00 4.8884e-04 2.9787e-04
2.3545e+00 6.5796e-04 1.1414e-03
2.3548e+00 4.2291e-04 3.3294e-04
2.3551e+00 3.3185e-04 3.3831e-04
2.3553e+00 3.4428e-04 2.8634e-04
2.3556e+00 4.0443e-04 4.5417e-04
2.3559e+00 3.0303e-04 3.7377e-04
2.3561e+00 3.1733e-04 3.6002e-04
2.3564e+00 3.2897e-04 3.0092e-04
2.3567e+00 3.0709e-04 3.1966e-04
2.3569e+00 3.2403e-04 2.9845e-04
2.3572e+00 2.4098e-04 3.2136e-04
2.3574e+00 3.7924e-04 7.7371e-04
2.3577e+00 3.4530e-04 2.9631e-04
2.3580e+00 3.2174e-04 3.5226e-04
2.3582e+00 3.4001e-04 4.8520e-04
2.3585e+00 3.8996e-04 3.8846e-04
2.3588e+00 2.6628e-04 4.2542e-04
2.3590e+00 3.7580e-04 3.3623e-04
2.3593e+00 3.1587e-04 3.9283e-04
2.3596e+00 2.9372e-04 3.0557e-04
2.3598e+00 3.0582e-04 2.7773e-04
2.3601e+00 4.1604e-04 3.0591e-04
2.3604e+00 3.7238e-04 2.9237e-04
2.3606e+00 2.9750e-04 2.8663e-04
2.3609e+00 2.8566e-04 3.0134e-04
2.3611e+00 2.4345e-04 3.2603e-04
2.3614e+00 3.9190e-04 3.2184e-04
2.3617e+00 4.4564e-04 3.5471e-04
2.3619e+00 4.2585e-04 3.0924e-04
2.3622e+00 4.4246e-04 3.2677e-04
2.3625e+00 3.2659e-04 2.9309e-04
2.3627e+00 3.6837e-04 2.9217e-04
2.3630e+00 3.1365e-04 3.1339e-04
2.3633e+00 2.3909e-04 3.1609e-04
2.3635e+00 2.2928e-04 2.9704e-04
2.3638e+00 1.3609e-04 3.1568e-04
2.3641e+00 3.4353e-04 3.4079e-04
2.3643e+00 3.3097e-04 3.8158e-04
2.3646e+00 3.8617e-04 3.4872e-04
2.3648e+00 4.7574e-04 3.1272e-04
2.3651e+00 4.4578e-04 2.9400e-04
2.3654e+00 3.3426e-04 2.9517e-04
2.3656e+00 3.6244e-04 4.0668e-04
2.3659e+00 3.3633e-04 3.7128e-04
2.3662e+00 3.7990e-04 3.1948e-04
2.3664e+00 3.5245e-04 3.3424e-04
2.3667e+00 3.5415e-04 2.8698e-04
2.3670e+00 4.0449e-04 3.1735e-04
2.3672e+00 3.6464e-04 3.9401e-04
2.3675e+00 3.6574e-04 4.1083e-04
2.3678e+00 3.5464e-04 3.5527e-04
2.3680e+00 2.4190e-04 3.2219e-04
2.3683e+00 4.2272e-04 3.0611e-04
2.3685e+00 3.7641e-04 3.1749e-04
2.3688e+00 3.2063e-04 3.7313e-04
2.3691e+00 3.2587e-04 3.7171e-04
2.3693e+00 3.5202e-04 3.9526e-04
2.3696e+00 3.9453e-04 3.1732e-04
2.3699e+00 3.3758e-04 3.4245e-04
2.3701e+00 3.7404e-04 4.3699e-04
2.3704e+00 4.7872e-04 5.6911e-04
2.3707e+00 3.0007e-04 5.8978e-04
2.3709e+00 3.8722e-04 5.2481e-04
2.3712e+00 3.1524e-04 5.6181e-04
2.3715e+00 1.8309e-04 6.9390e-04
2.3717e+00 1.3467e-04 4.6217e-04
2.3720e+00 2.5173e-04 4.6117e-04
2.3722e+00 2.0183e-04 3.6355e-04
2.3725e+00 1.9701e-04 3.7998e-04
2.3728e+00 3.8500e-04 4.0222e-04
2.3730e+00 2.4128e-04 3.3109e-04
2.3733e+00 2.8575e-04 3.2182e-04
2.3736e+00 4.1944e-04 3.3696e-04
2.3738e+00 3.3976e-04 3.2364e-04
2.3741e+00 3.5218e-04 3.0891e-04
2.3744e+00 3.3539e-04 3.0854e-04
2.3746e+00 -6.2414e-05 3.5816e-04
2.3749e+00 1.8958e-04 3.2646e-04
2.3752e+00 3.7835e-04 3.1801e-04
2.3754e+00 4.7419e-04 3.6798e-04
2.3757e+00 4.2885e-04 3.0031e-04
2.3759e+00 4.3466e-04 3.0872e-04
2.3762e+00 4.3237e-04 3.5608e-04
2.3765e+00 2.8304e-04 4.0635e-04
2.3767e+00 2.7332e-04 4.7105e-04
2.3770e+00 2.9752e-04 3.9569e-04
2.3773e+00 2.4287e-04 3.4820e-04
2.3775e+00 3.2741e-04 3.2905e-04
2.3778e+00 4.3911e-04 3.3746e-04
2.3781e+00 2.5495e-04 4.3644e-04
2.3783e+00 1.7542e-04 4.5965e-04
2.3786e+00 4.0729e-04 4.5149e-04
2.3789e+00 3.0489e-04 3.7211e-04
2.3791e+00 2.5087e-04 3.8360e-04
2.3794e+00 3.8225e-04 3.1660e-04
2.3796e+00 4.5337e-04 3.4180e-04
2.3799e+00 4.8733e-04 3.6576e-04
2.3802e+00 5.0443e-04 3.6867e-04
2.3804e+00 4.0822e-04 3.6834e-04
2.3807e+00 1.5424e-04 3.6097e-04
2.3810e+00 2.5296e-04 3.4502e-04
2.3812e+00 3.1149e-04 3.5520e-04
2.3815e+00 2.8264e-04 3.2483e-04
2.3818e+00 2.7456e-04 3.3219e-04
2.3820e+00 2.0692e-04 3.0808e-04
2.3823e+00 2.4015e-04 4.0014e-04
2.3826e+00 2.6098e-04 5.0520e-04
2.3828e+00 1.0276e-04 3.6165e-04
2.3831e+00 2.5665e-04 4.1015e-04
2.3833e+00 2.6196e-04 6.6427e-04
2.3836e+00 3.1461e-04 4.1162e-04
2.3839e+00 2.8064e-04 4.7268e-04
2.3841e+00 2.4841e-04 5.2421e-04
2.3844e+00 3.0627e-04 4.9114e-04
2.3847e+00 4.0067e-04 3.9080e-04
2.3849e+00 3.3369e-04 4.1458e-04
2.3852e+00 3.1270e-04 3.1922e-04
2.3855e+00 2.8456e-04 3.2965e-04
2.3857e+00 2.1647e-04 3.9594e-04
2.3860e+00 3.3001e-04 4.6031e-04
2.3863e+00 3.9241e-04 4.8388e-04
2.3865e+00 3.7111e-04 4.2916e-04
2.3868e+00 3.9643e-04 3.8866e-04
2.3870e+00 4.4185e-04 3.3259e-04
2.3873e+00 3.7001e-04 3.5523e-04
2.3876e+00 2.9921e-04 3.6215e-04
2.3878e+00 3.4454e-04 3.8374e-04
2.3881e+00 3.1760e-04 5.0346e-04
2.3884e+00 3.1036e-04 4.0437e-04
2.3886e+00 2.6768e-04 3.4456e-04
2.3889e+00 3.0363e-04 3.3018e-04
2.3892e+00 2.7563e-04 3.5966e-04
2.3894e+00 2.6232e-04 3.6827e-04
2.3897e+00 3.4458e-04 4.0938e-04
2.3900e+00 2.8693e-04 3.8069e-04
2.3902e+00 4.0142e-04 3.6680e-04
2.3905e+00 3.1029e-04 3.5071e-04
2.3907e+00 2.3384e-04 3.4889e-04
2.3910e+00 4.3897e-04 4.0463e-04
2.3913e+00 5.9808e-04 4.7187e-04
2.3915e+00 2.6165e-04 6.1407e-04
2.3918e+00 4.6729e-04 5.0096e-04
2.3921e+00 1.9384e-04 3.6445e-04
2.3923e+00 2.7863e-04 5.1453e-04
2.3926e+00 3.2471e-04 3.3298e-04
2.3929e+00 3.8277e-04 3.3798e-04
2.3931e+00 4.0315e-04 5.9702e-04
2.3934e+00 2.5623e-04 3.6027e-04
2.3937e+00 2.7042e-04 3.4725e-04
2.3939e+00 1.7336e-04 3.7051e-04
2.3942e+00 4.0807e-04 3.7816e-04
2.3944e+00 5.8650e-04 3.5834e-04
2.3947e+00 3.0550e-04 3.4798e-04
2.3950e+00 2.3476e-04 3.4398e-04
2.3952e+00 1.4252e-04 3.5366e-04
2.3955e+00 4.8797e-04 3.4569e-04
2.3958e+00 5.1137e-04 4.9472e-04
2.3960e+00 1.8785e-04 3.1788e-04
2.3963e+00 1.6703e-04 3.6131e-04
2.3966e+00 3.5963e-04 4.2176e-04
2.3968e+00 5.1008e-04 4.9871e-04
2.3971e+00 6.0316e-04 4.1780e-04
2.3974e+00 3.3232e-04 4.4973e-04
2.3976e+00 3.3884e-04 3.7144e-04
2.3979e+00 4.1063e-04 3.2787e-04
2.3981e+00 3.0549e-04 3.5304e-04
2.3984e+00 3.3954e-04 3.2177e-04
2.3987e+00 1.8747e-04 3.4501e-04
2.3989e+00 3.0483e-04 3.9856e-04
2.3992e+00 1.0256e-04 3.2268e-04
2.3995e+00 2.7724e-04 3.2518e-04
2.3997e+00 2.9467e-04 3.5308e-04
2.4000e+00 1.8890e-04 3.2697e-04
