File created automatically by script spectrum_reduce.py on 2020-21-18T20:01:58Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.0200e+00 1.8834e-04 2.0946e-04
2.0202e+00 1.4019e-04 1.8945e-04
2.0205e+00 2.3713e-04 2.4680e-04
2.0207e+00 1.5259e-04 2.3360e-04
2.0210e+00 2.1778e-04 2.0056e-04
2.0213e+00 1.7733e-04 2.8924e-04
2.0215e+00 2.9285e-04 2.1553e-04
2.0218e+00 2.0618e-04 1.7194e-04
2.0221e+00 1.4422e-04 2.5591e-04
2.0223e+00 9.9437e-05 2.0992e-04
2.0226e+00 1.5542e-04 1.5621e-04
2.0229e+00 2.0984e-04 1.8550e-04
2.0231e+00 1.3858e-04 2.4259e-04
2.0234e+00 2.2332e-04 2.0017e-04
2.0237e+00 2.1811e-04 3.1395e-04
2.0239e+00 2.4489e-04 1.9973e-04
2.0242e+00 1.9985e-04 1.7372e-04
2.0244e+00 2.2909e-04 1.5925e-04
2.0247e+00 1.9771e-04 1.9166e-04
2.0250e+00 1.6666e-04 2.1642e-04
2.0252e+00 1.5582e-04 1.8125e-04
2.0255e+00 1.9732e-04 1.7403e-04
2.0258e+00 1.2391e-04 1.7844e-04
2.0260e+00 2.1583e-04 1.6429e-04
2.0263e+00 1.7707e-04 1.5163e-04
2.0266e+00 1.5139e-04 1.6328e-04
2.0268e+00 2.0702e-04 2.6988e-04
2.0271e+00 1.5185e-04 1.4566e-04
2.0274e+00 9.5735e-05 1.5614e-04
2.0276e+00 2.0786e-04 1.5603e-04
2.0279e+00 1.6283e-04 1.4530e-04
2.0281e+00 1.5086e-04 1.5583e-04
2.0284e+00 1.9883e-04 2.0374e-04
2.0287e+00 1.5733e-04 1.6429e-04
2.0289e+00 1.2971e-04 1.4386e-04
2.0292e+00 1.6489e-04 1.4454e-04
2.0295e+00 1.5617e-04 1.5277e-04
2.0297e+00 2.0677e-04 1.9790e-04
2.0300e+00 2.0378e-04 1.5792e-04
2.0303e+00 2.3970e-04 2.2097e-04
2.0305e+00 1.7092e-04 1.4958e-04
2.0308e+00 2.0739e-04 1.4784e-04
2.0311e+00 1.7396e-04 1.4505e-04
2.0313e+00 2.3499e-04 4.2702e-04
2.0316e+00 2.1064e-04 1.4408e-04
2.0318e+00 1.8516e-04 1.3714e-04
2.0321e+00 1.8390e-04 1.5442e-04
2.0324e+00 2.4010e-04 1.4250e-04
2.0326e+00 1.9151e-04 3.3425e-04
2.0329e+00 2.2442e-04 1.3657e-04
2.0332e+00 2.2233e-04 2.2619e-04
2.0334e+00 2.0300e-04 1.5745e-04
2.0337e+00 2.9112e-04 2.1759e-04
2.0340e+00 5.2171e-04 2.3473e-04
2.0342e+00 2.4262e-04 1.4273e-04
2.0345e+00 1.8642e-04 1.4234e-04
2.0348e+00 2.2237e-04 1.4478e-04
2.0350e+00 2.4822e-04 1.7734e-04
2.0353e+00 2.1581e-04 1.4731e-04
2.0355e+00 1.7597e-04 1.4622e-04
2.0358e+00 1.8220e-04 1.3368e-04
2.0361e+00 1.7096e-04 1.4714e-04
2.0363e+00 1.7626e-04 1.7539e-04
2.0366e+00 1.9577e-04 1.3814e-04
2.0369e+00 2.4569e-04 1.3804e-04
2.0371e+00 2.3100e-04 1.3578e-04
2.0374e+00 1.8684e-04 2.2092e-04
2.0377e+00 2.2581e-04 1.4149e-04
2.0379e+00 2.1202e-04 1.5570e-04
2.0382e+00 2.1374e-04 1.5904e-04
2.0385e+00 1.9423e-04 1.4349e-04
2.0387e+00 1.9324e-04 1.4667e-04
2.0390e+00 1.9291e-04 1.5771e-04
2.0392e+00 2.0739e-04 1.4552e-04
2.0395e+00 2.0358e-04 1.4454e-04
2.0398e+00 2.2352e-04 1.5275e-04
2.0400e+00 1.7624e-04 1.7163e-04
2.0403e+00 1.9712e-04 1.5897e-04
2.0406e+00 1.8353e-04 1.5922e-04
2.0408e+00 1.8853e-04 1.7979e-04
2.0411e+00 2.1535e-04 1.5929e-04
2.0414e+00 2.3744e-04 1.4371e-04
2.0416e+00 1.9142e-04 1.6424e-04
2.0419e+00 1.7241e-04 1.3950e-04
2.0422e+00 1.8286e-04 1.5242e-04
2.0424e+00 1.6177e-04 3.3258e-04
2.0427e+00 1.7790e-04 1.7396e-04
2.0429e+00 2.1651e-04 1.5635e-04
2.0432e+00 2.3797e-04 1.3957e-04
2.0435e+00 2.6601e-04 1.4981e-04
2.0437e+00 1.9554e-04 1.5730e-04
2.0440e+00 1.9469e-04 1.5897e-04
2.0443e+00 3.5853e-04 1.5987e-04
2.0445e+00 2.3596e-04 1.6146e-04
2.0448e+00 2.4390e-04 1.5502e-04
2.0451e+00 2.0826e-04 1.6975e-04
2.0453e+00 1.7858e-04 1.8268e-04
2.0456e+00 1.9190e-04 1.4159e-04
2.0459e+00 1.9857e-04 1.4462e-04
2.0461e+00 1.5348e-04 1.5126e-04
2.0464e+00 1.5977e-04 1.5409e-04
2.0466e+00 2.1327e-04 1.5027e-04
2.0469e+00 2.3162e-04 1.5192e-04
2.0472e+00 2.1634e-04 1.6424e-04
2.0474e+00 1.7488e-04 1.6119e-04
2.0477e+00 1.8671e-04 1.6341e-04
2.0480e+00 2.4304e-04 1.7253e-04
2.0482e+00 2.3538e-04 1.8081e-04
2.0485e+00 1.8014e-04 1.7728e-04
2.0488e+00 2.0679e-04 1.8801e-04
2.0490e+00 2.1773e-04 1.7491e-04
2.0493e+00 1.7575e-04 1.8143e-04
2.0496e+00 2.0860e-04 2.0340e-04
2.0498e+00 1.6067e-04 1.8184e-04
2.0501e+00 2.1583e-04 1.9899e-04
2.0503e+00 2.0841e-04 1.9671e-04
2.0506e+00 2.0679e-04 1.8394e-04
2.0509e+00 1.4857e-04 2.1566e-04
2.0511e+00 2.0682e-04 1.8690e-04
2.0514e+00 2.0043e-04 2.0575e-04
2.0517e+00 2.3821e-04 5.6312e-04
2.0519e+00 1.9593e-04 2.3087e-04
2.0522e+00 1.9233e-04 2.8209e-04
2.0525e+00 1.7300e-04 2.1130e-04
2.0527e+00 2.3972e-04 2.3692e-04
2.0530e+00 2.3981e-04 1.9682e-04
2.0533e+00 2.3437e-04 2.3922e-04
2.0535e+00 1.7264e-04 3.2715e-04
2.0538e+00 2.2648e-04 2.9457e-04
2.0540e+00 2.1751e-04 2.1776e-04
2.0543e+00 1.4488e-04 2.3344e-04
2.0546e+00 1.6588e-04 3.6154e-04
2.0548e+00 9.8760e-05 2.2819e-04
2.0551e+00 2.2560e-04 2.4753e-04
2.0554e+00 1.8406e-04 2.5890e-04
2.0556e+00 1.9392e-04 2.4787e-04
2.0559e+00 2.1675e-04 1.9919e-04
2.0562e+00 1.8989e-04 2.7048e-04
2.0564e+00 2.0447e-04 2.0056e-04
2.0567e+00 2.0434e-04 2.4736e-04
2.0570e+00 2.0870e-04 2.1701e-04
2.0572e+00 2.2950e-04 2.1175e-04
2.0575e+00 2.6894e-04 2.2746e-04
2.0577e+00 2.0962e-04 2.0200e-04
2.0580e+00 2.0572e-04 2.2499e-04
2.0583e+00 2.3177e-04 1.9780e-04
2.0585e+00 2.1276e-04 1.9015e-04
2.0588e+00 2.3114e-04 2.1040e-04
2.0591e+00 2.1472e-04 1.7248e-04
2.0593e+00 1.9842e-04 1.8889e-04
2.0596e+00 1.9473e-04 1.6393e-04
2.0599e+00 2.1028e-04 1.5959e-04
2.0601e+00 2.5083e-04 1.5881e-04
2.0604e+00 2.6542e-04 1.8682e-04
2.0607e+00 2.0899e-04 1.9865e-04
2.0609e+00 1.8419e-04 1.7491e-04
2.0612e+00 1.9789e-04 1.7832e-04
2.0614e+00 2.0080e-04 1.8328e-04
2.0617e+00 2.2310e-04 1.8970e-04
2.0620e+00 2.0375e-04 2.3728e-04
2.0622e+00 2.3732e-04 2.2598e-04
2.0625e+00 2.6624e-04 1.8772e-04
2.0628e+00 8.5651e-04 5.8831e-04
2.0630e+00 5.2296e-04 2.5695e-04
2.0633e+00 2.4732e-04 1.8751e-04
2.0636e+00 1.8033e-04 2.2901e-04
2.0638e+00 9.9768e-06 2.1667e-04
2.0641e+00 1.2648e-04 1.7267e-04
2.0644e+00 2.7174e-04 2.2554e-04
2.0646e+00 2.6634e-04 1.9827e-04
2.0649e+00 2.6375e-04 1.8896e-04
2.0651e+00 1.9001e-04 2.4555e-04
2.0654e+00 2.1577e-04 1.7656e-04
2.0657e+00 2.0814e-04 2.0768e-04
2.0659e+00 1.6367e-04 2.2622e-04
2.0662e+00 1.6668e-04 1.8022e-04
2.0665e+00 3.0906e-04 2.5403e-04
2.0667e+00 2.6310e-04 2.3154e-04
2.0670e+00 2.5326e-04 1.7854e-04
2.0673e+00 1.9570e-04 6.2541e-04
2.0675e+00 1.8181e-04 1.6954e-04
2.0678e+00 2.0163e-04 1.7832e-04
2.0681e+00 2.4914e-04 2.1447e-04
2.0683e+00 2.7387e-04 1.6239e-04
2.0686e+00 2.0436e-04 2.3176e-04
2.0688e+00 1.9283e-04 1.8865e-04
2.0691e+00 2.1758e-04 1.7520e-04
2.0694e+00 1.7308e-04 1.8157e-04
2.0696e+00 1.4680e-04 1.8824e-04
2.0699e+00 2.1579e-04 1.6368e-04
2.0702e+00 2.4128e-04 1.9529e-04
2.0704e+00 2.8255e-04 1.8005e-04
2.0707e+00 2.1979e-04 1.7987e-04
2.0710e+00 1.9245e-04 1.9061e-04
2.0712e+00 2.4107e-04 1.9370e-04
2.0715e+00 2.2945e-04 1.5539e-04
2.0718e+00 2.6665e-04 1.9734e-04
2.0720e+00 2.2979e-04 1.7830e-04
2.0723e+00 2.0126e-04 1.5018e-04
2.0725e+00 2.7564e-04 1.7729e-04
2.0728e+00 2.3772e-04 1.6175e-04
2.0731e+00 3.2817e-04 1.6818e-04
2.0733e+00 2.4511e-04 1.7044e-04
2.0736e+00 2.0097e-04 1.6934e-04
2.0739e+00 2.0964e-04 1.5746e-04
2.0741e+00 2.3394e-04 1.6004e-04
2.0744e+00 2.4927e-04 1.8015e-04
2.0747e+00 2.0180e-04 1.6154e-04
2.0749e+00 1.9743e-04 2.1282e-04
2.0752e+00 2.3704e-04 1.6364e-04
2.0755e+00 2.1584e-04 1.6147e-04
2.0757e+00 1.8828e-04 1.5496e-04
2.0760e+00 1.5842e-04 1.6743e-04
2.0762e+00 2.6394e-04 1.4686e-04
2.0765e+00 2.1208e-04 1.8354e-04
